"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Laureano, Ramón","657656","2022","383","242",0.211,0.217,-0.006000000000000005,0.376,0.411,-0.034999999999999976,0.294,0.308,-0.014000000000000012
"Anderson, Brian","605119","2022","383","238",0.222,0.228,-0.006000000000000005,0.346,0.393,-0.04700000000000004,0.293,0.312,-0.019000000000000017
"O'Neill, Tyler","641933","2022","383","238",0.228,0.233,-0.0050000000000000044,0.392,0.43,-0.03799999999999998,0.307,0.329,-0.02200000000000002
"Gonzalez, Oscar","660757","2022","382","289",0.296,0.279,0.01699999999999996,0.461,0.438,0.02300000000000002,0.339,0.325,0.014000000000000012
"Buxton, Byron","621439","2022","382","225",0.224,0.24,-0.015999999999999986,0.526,0.521,0.0050000000000000044,0.356,0.359,-0.0030000000000000027
"Díaz, Elias","553869","2022","381","272",0.228,0.217,0.01100000000000001,0.368,0.344,0.02400000000000002,0.284,0.273,0.010999999999999954
"Paredes, Isaac","670623","2022","381","266",0.205,0.21,-0.0050000000000000044,0.435,0.362,0.07300000000000001,0.323,0.301,0.02200000000000002
"García, Avisaíl","541645","2022","380","250",0.224,0.231,-0.007000000000000006,0.317,0.379,-0.062,0.258,0.286,-0.02799999999999997
"Pinder, Chad","640461","2022","379","246",0.235,0.234,0.0009999999999999731,0.385,0.385,0,0.281,0.28,0.0010000000000000009
"Maldonado, Martín","455117","2022","379","234",0.186,0.18,0.006000000000000005,0.352,0.34,0.011999999999999955,0.264,0.257,0.007000000000000006
"García Jr., Luis","671277","2022","377","281",0.275,0.256,0.019000000000000017,0.408,0.416,-0.008000000000000007,0.303,0.305,-0.0020000000000000018
"Votto, Joey","458015","2022","376","225",0.205,0.217,-0.01200000000000001,0.37,0.409,-0.03899999999999998,0.31,0.327,-0.017000000000000015
"Contreras, William","661388","2022","376","232",0.278,0.24,0.038000000000000034,0.506,0.486,0.020000000000000018,0.37,0.346,0.02400000000000002
"Grandal, Yasmani","518735","2022","376","250",0.202,0.213,-0.010999999999999982,0.269,0.323,-0.05399999999999999,0.263,0.288,-0.024999999999999967
"Stassi, Max","545358","2022","375","223",0.18,0.177,0.0030000000000000027,0.303,0.333,-0.030000000000000027,0.258,0.267,-0.009000000000000008
"Suwinski, Jack","669261","2022","372","213",0.202,0.206,-0.003999999999999976,0.411,0.416,-0.0050000000000000044,0.311,0.313,-0.0020000000000000018
"Ortega, Rafael","542364","2022","371","250",0.241,0.246,-0.0050000000000000044,0.358,0.365,-0.007000000000000006,0.305,0.318,-0.013000000000000012
"Wendle, Joey","621563","2022","371","301",0.259,0.25,0.009000000000000008,0.36,0.344,0.016000000000000014,0.289,0.28,0.008999999999999952
"Bradley Jr., Jackie","598265","2022","370","269",0.203,0.222,-0.01899999999999999,0.311,0.344,-0.032999999999999974,0.252,0.272,-0.020000000000000018
"Davis, J.D.","605204","2022","365","198",0.248,0.239,0.009000000000000008,0.418,0.481,-0.063,0.333,0.352,-0.01899999999999996
"Margot, Manuel","622534","2022","363","269",0.274,0.264,0.010000000000000009,0.375,0.363,0.01200000000000001,0.308,0.301,0.007000000000000006
"Cruz, Oneil","665833","2022","361","206",0.233,0.217,0.016000000000000014,0.45,0.417,0.03300000000000003,0.32,0.303,0.017000000000000015
"Rivera, Emmanuel","656896","2022","359","248",0.233,0.234,-0.0010000000000000009,0.409,0.418,-0.009000000000000008,0.306,0.309,-0.0030000000000000027
