"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Ramírez, José",608070,2.0620964568922346,2.0620964568922346,1.9623122762901595,,0.09978418060207497,,,,,,1879,0,0,0,1879,0,0,0,0
"Vázquez, Christian",543877,2.057381078118207,,,,,,2.057381078118207,4.564613333500493,-1.4527244770091303,-1.0545077783731547,1686,1686,0,0,0,0,0,0,0
"Walker, Christian",572233,2.055893559112056,2.055893559112056,0.5555373830729402,,0.32750230082757326,1.1728538752115414,,,,,3064,0,3064,0,0,0,0,0,0
"Norby, Connor",681393,1.9879361113404572,1.9879361113404572,2.53492432779841,0.013770421581319126,-0.12730059922611214,-0.43345803881315725,,,,,1412,0,1031,168,213,0,0,0,0
"Scott II, Victor",687363,1.9598196219092476,1.9598196219092476,2.691602328998698,-0.7317827070894509,,,,,,,1415,0,0,0,0,0,0,1415,0
"Freeland, Alex",690976,1.9167169037345433,1.9167169037345433,2.308018158843082,-0.011292578948993551,-0.38000867615954553,,,,,,1524,0,0,1500,0,24,0,0,0
"Davis, Henry",680779,1.8728736251852658,,,,,,1.8728736251852658,-0.2611473308595423,1.9960908266285058,0.1379301294163019,1906,1906,0,0,0,0,0,0,0
"Mangum, Jake",663968,1.8498933153045727,1.8498933153045727,0.8670963536485953,0.9827969616559801,,,,,,,2295,0,0,0,0,0,677,1366,252
"Paredes, Isaac",670623,1.7148528129443301,1.7148528129443301,0.2479097421610301,0.0017978134954314217,1.0094290111411992,0.4557162461466699,,,,,2893,0,171,75,2647,0,0,0,0
"Kelly, Carson",608348,1.6355327137734694,0.028378683376380442,,,,0.028378683376380442,1.607154030397089,2.2961078342830556,-2.2172824201702452,1.5283286162842795,1993,1957,30,0,0,0,0,0,0
"Gilbert, Drew",687551,1.5284318927549552,1.5284318927549552,1.155345826856461,0.3730860658984939,,,,,,,2067,0,0,0,0,0,176,1780,111
"Contreras, Willson",575929,1.5204398482914825,1.5204398482914825,0.2750717757977038,,0.4387552581749681,0.8066128143188107,,,,,2866,0,2866,0,0,0,0,0,0
"Edman, Tommy",669242,1.5189771700822576,1.5189771700822576,2.111110379784943,-0.7750878481251218,0.1829546384224352,,,,,,1183,0,0,754,144,3,252,30,0
"Arenado, Nolan",571448,1.516487473456052,1.516487473456052,0.8804184615646431,,0.6360690118914077,,,,,,2906,0,0,0,2906,0,0,0,0
"Rojas, Miguel",500743,1.489749375048376,1.489749375048376,2.7120509493441194,-0.014859520246898477,-1.2185385922296077,0.011096538180761839,,,,,1231,0,33,670,69,447,0,0,0
"Nootbaar, Lars",663457,1.3179627626209918,1.3179627626209918,0.8454637701134148,0.4724989925075782,,,,,,,1211,0,0,0,0,0,961,81,169
"Tovar, Ezequiel",678662,1.2924590846680335,1.2924590846680335,0.6657451860379474,0.2594406293132824,0.36727326931680404,,,,,,2852,0,0,0,0,2852,0,0,0
"Buxton, Byron",621439,1.2786419076561377,1.2786419076561377,2.5882564999177156,-1.3096145922615785,,,,,,,1674,0,0,0,0,0,0,1674,0
"Caratini, Victor",605170,1.1778378857019263,0.7032321830690198,0.2212284932941344,,0.17325743341295946,0.30874625636192526,0.47460570263290636,2.997347638165466,-3.311458347745474,0.7887164122129194,2054,1569,485,0,0,0,0,0,0
"Hicks, Liam",689414,1.096232596111221,0.7335302567817291,1.2135892414832112,,-0.2509184960364287,-0.22914048866505377,0.3627023393294925,0.0019700181854233056,0.78826601409289,-0.4275336929488206,1672,1119,553,0,0,0,0,0,0
"Gonzalez, Jacob",694378,0.9645503248309051,0.9645503248309051,0.35827629536991923,,0.32816209408896946,0.2781119353720157,,,,,1187,0,667,0,3,517,0,0,0
"Kurtz, Nick",701762,0.9329681235922929,0.9329681235922929,-2.1216311200229,,0.2277699974302176,2.8268292461849764,,,,,2466,0,2466,0,0,0,0,0,0
"Feduccia, Hunter",676439,0.8852825785529554,,,,,,0.8852825785529554,3.248229023248325,-1.6227835584903791,-0.7401628862049902,1475,1475,0,0,0,0,0,0,0
"Vierling, Matt",663837,0.7664678057395871,0.7664678057395871,1.7816822933707572,-1.0152144876311675,,,,,,,1835,0,0,0,3,0,174,1366,292
"Henderson, Gunnar",683002,0.6926533303559599,0.6926533303559599,1.5366422486035902,0.12328080201194488,-0.9672697202595748,,,,,,3095,0,0,0,0,3095,0,0,0
"García Jr., Luis",671277,0.6625723057961258,0.6625723057961258,1.062383658035168,,1.5653309865580152,-1.9651423387970575,,,,,2295,0,2295,0,0,0,0,0,0
"Guzman, Denzer",694203,0.6623347889676581,0.6623347889676581,1.44800562735461,,-0.7856708383869531,,,,,,1290,0,0,0,1254,36,0,0,0
"Sanoja, Javier",691594,0.657018077254965,0.657018077254965,-0.1415036135594003,0.30770428227652147,0.49081740853784384,,,,,,2370,0,0,96,1787,157,153,44,119
